"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Engineering or Manufacturing","chile","Woman","Hispanic","35-44","College degree","10-","10-",41,40,"Middle",5,5,3,"Medium","Not White","Woman","Not USA","Not Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","10-","10-",69.4,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","55+","College degree","31+","31+",122,60,"Old",35,35,3,"Medium","White","Not Woman","USA","Not Woman"
"Recruitment or HR","usa","Woman","White","35-44","Master's degree","11-20","10-",58,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","Black","25-34","Master's degree","10-","10-",93.2,30,"Young",5,5,4,"High","Not White","Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","45-54","Master's degree","21-30","21-30",149,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","45-54","College degree","10-","10-",38.8,50,"Old",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","21-30","21-30",90,50,"Old",25,25,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",168,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Law","usa","Woman","Black","25-34","Professional degree","11-20","10-",195,30,"Young",15,5,6,"High","Not White","Woman","USA","Woman"
"Business or Consulting","canada","Woman","White","45-54","Some college","21-30","21-30",51.8672,50,"Old",25,25,2,"Low","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",125,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","Master's degree","10-","10-",165,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","45-54","College degree","21-30","21-30",95,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Art & Design","usa","Man","White","25-34","College degree","11-20","10-",46.56,30,"Young",15,5,3,"Medium","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Man","White","55+","Some college","31+","21-30",130,60,"Old",35,25,2,"Low","White","Not Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Man","White","35-44","College degree","10-","10-",98.112,40,"Middle",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","10-",95.7,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","PhD","10-","10-",102,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","21-30","21-30",115,40,"Middle",25,25,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","Asian ","25-34","College degree","10-","10-",66,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Man","White","35-44","College degree","21-30","21-30",267,40,"Middle",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","10-",102,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","11-20",83,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","canada","Woman","Hispanic","35-44","College degree","11-20","11-20",100,40,"Middle",15,15,3,"Medium","Not White","Woman","Not USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",46.183,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",155,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","24-","College degree","10-","10-",42,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Art & Design","canada","Woman","White","35-44","College degree","11-20","11-20",57.6,40,"Middle",15,15,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","Asian ","24-","College degree","10-","10-",80.34,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","24-","College degree","10-","10-",90.5,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Black","25-34","College degree","11-20","10-",67,30,"Young",15,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",146.5,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Retail","canada","Woman","White","25-34","College degree","10-","10-",97.4,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","Black","25-34","College degree","10-","10-",97.75,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","PhD","10-","10-",90,40,"Middle",5,5,5,"High","White","Not Woman","USA","Not Woman"
"Law","canada","Woman","White","25-34","Professional degree","10-","10-",120,30,"Young",5,5,6,"High","White","Woman","Not USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","11-20","10-",45,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","25-34","College degree","10-","11-20",104.4,30,"Young",5,15,3,"Medium","Not White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Other","Other","25-34","College degree","10-","10-",121,30,"Young",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",16.64,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Man","White","25-34","College degree","10-","10-",180,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Some college","11-20","11-20",57.72,40,"Middle",15,15,2,"Low","White","Woman","USA","Not Woman"
"Computing or Tech","denmark","Man","White","25-34","Master's degree","10-","10-",594.72,30,"Young",5,5,4,"High","White","Not Woman","Not USA","Not Woman"
"Media & Digital","usa","Woman","White","25-34","Master's degree","10-","10-",71,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",70.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","35-44","Professional degree","11-20","10-",310,40,"Middle",15,5,6,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","11-20",64,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","austria","Woman","White","35-44","Master's degree","11-20","10-",72.688,40,"Middle",15,5,4,"High","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","24-","College degree","10-","10-",58.24,20,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",129,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","45-54","PhD","21-30","11-20",107,50,"Old",25,15,5,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","College degree","21-30","11-20",45,40,"Middle",25,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Other","Other","25-34","College degree","10-","10-",106,30,"Young",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",67.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","College degree","10-","10-",61,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","Hispanic","25-34","Master's degree","10-","10-",44,30,"Young",5,5,4,"High","Not White","Woman","USA","Woman"
"Leisure, Sport & Tourism","canada","Woman","White","25-34","College degree","10-","10-",72,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Business or Consulting","uk","Woman","White","25-34","Master's degree","10-","10-",83.4,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","11-20","10-",83,30,"Young",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","11-20","11-20",77,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Asian ","25-34","College degree","10-","10-",158,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Education","usa","Man","White","45-54","College degree","21-30","21-30",226,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Science","usa","Other","White","35-44","PhD","11-20","11-20",135.5,40,"Middle",15,15,5,"High","White","Not Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","Asian ","25-34","Some college","10-","10-",80,30,"Young",5,5,2,"Low","Not White","Not Woman","USA","Not Woman"
"Fashion and Beauty","usa","Woman","Asian ","25-34","College degree","10-","10-",115,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Retail","uk","Woman","White","25-34","College degree","10-","10-",26.41,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Computing or Tech","usa","Man","White","25-34","Master's degree","10-","10-",90,30,"Young",5,5,4,"High","White","Not Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",52.02,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Man","White","25-34","Master's degree","11-20","10-",135,30,"Young",15,5,4,"High","White","Not Woman","USA","Woman"
"Media & Digital","usa","Woman","White","25-34","College degree","11-20","11-20",73,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Hispanic","25-34","College degree","10-","10-",84,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","10-","10-",43,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Woman","Asian ","25-34","College degree","10-","10-",108,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Education","usa","Man","White","45-54","College degree","21-30","21-30",110,50,"Old",25,25,3,"Medium","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","11-20","10-",80,50,"Old",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","uk","Man","White","25-34","Master's degree","11-20","10-",39.476,30,"Young",15,5,4,"High","White","Not Woman","Not USA","Woman"
"Insurance","usa","Other","Other","25-34","College degree","10-","10-",146.5,30,"Young",5,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",58.784,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Some college","11-20","10-",95.3,40,"Middle",15,5,2,"Low","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Hispanic","25-34","College degree","10-","10-",57.08,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","High School","10-","10-",35,50,"Old",5,5,1,"Low","White","Woman","USA","Woman"
"Law","canada","Other","Asian ","25-34","Master's degree","10-","10-",48.4,30,"Young",5,5,4,"High","Not White","Not Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","24-","College degree","10-","10-",83.6,20,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",130,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Government and Public Administration","uk","Woman","White","25-34","Master's degree","10-","10-",41.7,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Property or Construction","usa","Woman","White","25-34","College degree","10-","10-",87.45,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Man","White","55+","High School","31+","31+",95,60,"Old",35,35,1,"Low","White","Not Woman","USA","Not Woman"
"Education","usa","Woman","White","45-54","PhD","11-20","11-20",95,50,"Old",15,15,5,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Black","24-","College degree","10-","10-",135.5,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Social Work","usa","Man","White","25-34","College degree","10-","10-",41,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Recruitment or HR","usa","Woman","Black","25-34","College degree","11-20","10-",80,30,"Young",15,5,3,"Medium","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","College degree","11-20","10-",67.65,50,"Old",15,5,3,"Medium","White","Woman","USA","Woman"
"Retail","uk","Woman","White","25-34","College degree","11-20","11-20",69.5,30,"Young",15,15,3,"Medium","White","Woman","Not USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",106,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Other","25-34","College degree","10-","10-",58.24,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",41.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",78,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","21-30","11-20",44,50,"Old",25,15,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","45-54","College degree","21-30","11-20",135,50,"Old",25,15,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",126.5,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Professional degree","11-20","11-20",210.2,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","11-20","10-",115,30,"Young",15,5,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","Master's degree","10-","10-",62,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","10-",105,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","45-54","College degree","21-30","21-30",40,50,"Old",25,25,3,"Medium","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","25-34","Master's degree","10-","10-",77.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",36.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",250,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","24-","College degree","10-","10-",69.275,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",66.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","uk","Woman","White","25-34","College degree","10-","10-",76.033,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",53,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","55+","PhD","31+","31+",78,60,"Old",35,35,5,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","PhD","10-","10-",145,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",87,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","25-34","Master's degree","10-","10-",56.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","Asian ","25-34","College degree","10-","10-",87.55,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Business or Consulting","canada","Woman","White","25-34","College degree","11-20","10-",49.6,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","Asian ","25-34","Master's degree","10-","10-",147,30,"Young",5,5,4,"High","Not White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",66,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",103,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Man","Other","45-54","High School","11-20","11-20",205,50,"Old",15,15,1,"Low","Not White","Not Woman","USA","Woman"
"Education","usa","Woman","Asian ","25-34","College degree","10-","10-",72,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","25-34","College degree","10-","10-",84,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","PhD","10-","10-",102,30,"Young",5,5,5,"High","White","Woman","USA","Not Woman"
"Media & Digital","usa","Woman","White","25-34","PhD","10-","10-",103,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Other","Black","35-44","High School","11-20","11-20",92.435,40,"Middle",15,15,1,"Low","Not White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",130,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Media & Digital","uk","Woman","White","25-34","Master's degree","10-","10-",54.21,30,"Young",5,5,4,"High","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",93,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",18,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","11-20","10-",144,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","Black","35-44","College degree","11-20","11-20",174,40,"Middle",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Black","24-","College degree","10-","10-",58,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","11-20","11-20",68.5,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",101,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","canada","Woman","White","25-34","College degree","11-20","10-",58.04,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","11-20",79.25,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","College degree","10-","10-",43.7,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","Hispanic","25-34","College degree","10-","10-",38,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Law","uk","Man","White","35-44","Professional degree","11-20","10-",141.78,40,"Middle",15,5,6,"High","White","Not Woman","Not USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",57,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","25-34","Master's degree","10-","10-",135.3,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","24-","College degree","10-","10-",36.4,20,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Man","White","35-44","College degree","10-","10-",93,40,"Middle",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",71.9,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",138,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","10-","10-",78,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","25-34","College degree","11-20","10-",50.8,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",58.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Asian ","25-34","Master's degree","11-20","10-",84,30,"Young",15,5,4,"High","Not White","Woman","USA","Woman"
"Education","canada","Woman","Asian ","35-44","College degree","11-20","11-20",56.0864,40,"Middle",15,15,3,"Medium","Not White","Woman","Not USA","Woman"
"Media & Digital","usa","Woman","White","55+","College degree","31+","31+",94,60,"Old",35,35,3,"Medium","White","Woman","USA","Woman"
"Property or Construction","usa","Man","White","35-44","Some college","10-","10-",60,40,"Middle",5,5,2,"Low","White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",65.5,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","10-",65.52,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Other","White","25-34","Some college","10-","10-",35.52,30,"Young",5,5,2,"Low","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",41,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","10-",58.864,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Professional degree","10-","10-",185,30,"Young",5,5,6,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","Hispanic","25-34","Master's degree","10-","10-",84,30,"Young",5,5,4,"High","Not White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",130,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","11-20","10-",72,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Other","White","25-34","Some college","10-","10-",66.56,30,"Young",5,5,2,"Low","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","Asian ","35-44","Professional degree","11-20","10-",120,40,"Middle",15,5,6,"High","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","College degree","11-20","10-",51.5,50,"Old",15,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",110,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Man","White","25-34","Professional degree","10-","10-",86.4,30,"Young",5,5,6,"High","White","Not Woman","USA","Woman"
"Social Work","uk","Woman","White","25-34","College degree","10-","10-",76.45,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Man","White","35-44","Master's degree","11-20","11-20",234,40,"Middle",15,15,4,"High","White","Not Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",101.2,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Social Work","uk","Woman","White","25-34","College degree","10-","10-",52.82,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",88,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Master's degree","10-","10-",180,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",125,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","21-30","10-",50.9,40,"Middle",25,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","canada","Woman","Asian ","25-34","College degree","10-","10-",74,30,"Young",5,5,3,"Medium","Not White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",92,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Social Work","canada","Woman","White","35-44","College degree","11-20","10-",38.24,40,"Middle",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","45-54","High School","21-30","11-20",80,50,"Old",25,15,1,"Low","White","Woman","USA","Woman"
"Marketing, Advertising & PR","canada","Woman","White","25-34","College degree","10-","10-",48,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","Asian ","25-34","PhD","10-","10-",105.8,30,"Young",5,5,5,"High","Not White","Woman","USA","Not Woman"
"Media & Digital","usa","Other","Other","25-34","Master's degree","11-20","10-",129,30,"Young",15,5,4,"High","Not White","Not Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","11-20","11-20",182,30,"Young",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","Professional degree","11-20","11-20",90,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Sales","usa","Woman","White","35-44","Master's degree","11-20","11-20",35.1,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",48.75,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Retail","usa","Woman","White","25-34","College degree","10-","10-",32.24,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",175,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","PhD","10-","10-",140,30,"Young",5,5,5,"High","White","Woman","USA","Not Woman"
"Insurance","usa","Woman","White","25-34","Some college","10-","10-",56.5,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","College degree","11-20","11-20",80.111,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Religion","usa","Woman","White","55+","College degree","31+","31+",32,60,"Old",35,35,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Man","White","45-54","College degree","21-30","10-",130,50,"Old",25,5,3,"Medium","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",70.8,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","11-20",47.097,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Retail","usa","Woman","White","25-34","College degree","10-","10-",36,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",49,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","25-34","College degree","10-","10-",70,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Business or Consulting","usa","Man","White","35-44","College degree","11-20","10-",130,40,"Middle",15,5,3,"Medium","White","Not Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Hispanic","25-34","College degree","10-","10-",75.114,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","35-44","Master's degree","11-20","11-20",60,40,"Middle",15,15,4,"High","White","Not Woman","USA","Not Woman"
